County,Location,Temperature (F),Date
Abbeville,Calhoun Falls,2,"Jan. 21, 1985"
Aiken,Aiken 5SE,-4,"Jan. 21, 1985"
Allendale,Allendale 2NW,-2,"Jan. 21, 1985"
Anderson,Anderson,-6,"Jan. 21, 1985"
Bamberg,Bamberg,2,"Jan. 21, 1985"
Barnwell,Blackville 3W,-3,"Feb. 14, 1899"
Beaufort,Yemasse,0,"Jan. 21, 1985"
Berkeley,Pinopolis Dam,8,"Jan. 22, 1985"
Calhoun,St Matthews,0,"Feb. 14, 1899"
Charleston,McClelanville,4,"Jan. 21, 1985"
Cherokee,Ninety Nine Island,-4,"Jan. 21, 1985"
Chester,Chester 1SE,-5,"Dec. 13, 1962"
Chesterfield,Cheraw,0,"Jan. 21, 1985"
Clarendon,Manning,0,"Jan. 21, 1985"
Colleton,Walterboro 1SW,0,"Jan. 21, 1985"
Darlington,Florence 8NE,1,"Jan. 21, 1985"
Dillon,Dillon,-1,"Dec. 25, 1985"
Dorchester,Summerville,-5,"Jan. 12, 1899"
Edgefield,Johnston 4SE,-2,"Jan. 21, 1985"
Fairfield,Winnsboro,-3,"Feb. 14, 1899"
Florence,Florence,0,"Jan. 21, 1985"
Georgetown,Andrews,2,"Jan. 21, 1985"
Greenville,Caesars Head,-19,"Jan. 21, 1985"
Greenwood,Greenwood,-5,"Feb. 21, 1899"
Hampton,Hampton 1S,1,"Jan. 21, 1985"
Horry,Loris,2,"Jan. 21, 1985"
Jasper,Ridgeland 5NE,2,"Jan. 21, 1985"
Kershaw,Camden 3W,-3,"Jan. 22, 1985"
Lancaster,Kershaw 1SW,-4,"Jan. 21, 1985"
Laurens,Laurens,-2,"Jan. 21, 1985"
Lee,Bishopville 1ENE,-2,"Jan. 21, 1985"
Lexington,Batesburg,-4,"Feb. 14, 1899"
Marion,Marion,0,"Jan. 21, 1989"
Marlboro,McColl,-5,"Jan. 21, 1985"
McCormick,Clark Hill 1W,-2,"Jan. 21, 1985"
Newberry,Newberry,-8,"Feb. 14, 1899"
Oconee,Long Creek,-8,"Jan. 21, 1985"
Orangeburg,Orangeburg 2,2,"Jan. 21, 1985"
Pickens,Pickens,-6,"Jan. 21, 1985"
Richland,Cedar Creek,-5,"Jan. 16, 1994"
Saluda,Saluda,-2,"Jan. 21, 1985"
Spartanburg,Greenville-Spartanburg Intnl.,-6,"Jan. 30, 1966"
Sumter,Sumter,2,"Jan. 21, 1985"
Union,Santuck,-11,"Feb. 14, 1899"
Williamsburg,Cades 4W,0,"Jan. 20, 1985"
York,Winthrop University,-4,"Jan. 21, 1985"